timestamp,run_id,test_id,utterance_type,spoken_text_ref,text_raw,text_processed,final_transcript,confidence,status,failure_reason,first_interim_latency_ms,final_latency_ms,duration_sec,chunk_count,audio_path,fallback_used,fallback_provider,fallback_latency_ms,fallback_reason
2026-02-12T19:00:57.286797,web_1770890447241,session_1770890447241,,,욕실 매트.,욕실 매트,욕실 매트,0.7064,OK,,8449,9971,9.97,35,,False,,0,
2026-02-12T19:01:18.641627,web_1770890476267,session_1770890476267,,,칫솔 꽂이.,칫솔 꽂이,칫솔 꽂이,0.9237,OK,,1625,2324,2.32,8,,False,,0,
2026-02-12T19:01:28.584756,web_1770890486181,session_1770890486181,,,해솔.,해솔,해솔,0.2593,OK,,1328,2355,2.36,8,,False,,0,
2026-02-12T19:01:34.095002,web_1770890491116,session_1770890491116,,,칫솔.,칫솔,칫솔,0.9237,OK,,1973,2933,2.93,10,,False,,0,
2026-02-12T19:01:46.535001,web_1770890504168,session_1770890504168,,,수납함.,수납함,수납함,0.9237,OK,,1328,2319,2.32,8,,False,,0,
2026-02-12T19:11:15.581084,web_1770891070380,session_1770891070380,,,아아!,!,!,0.2405,OK,,3576,5140,5.14,19,,False,,0,
2026-02-12T19:11:22.186381,web_1770891079058,session_1770891079058,,,칫솔.,칫솔,칫솔,0.9237,OK,,2313,3069,3.07,11,,False,,0,
2026-02-12T19:11:34.758714,web_1770891092348,session_1770891092348,,,페이스.,페이스,페이스,0.4169,OK,,1069,2352,2.35,8,,False,,0,
2026-02-12T19:11:39.261840,web_1770891096619,session_1770891096619,,,케이스.,케이스,케이스,0.8149,OK,,1549,2583,2.58,9,,False,,0,
2026-02-12T19:13:03.828770,web_1770891172093,session_1770891172093,,,,,,0.0,NO_SPEECH,No final result,,1086,1.09,0,,False,,0,
2026-02-12T19:13:19.121059,web_1770891159848,session_1770891159848,,,,,,0.0,FALLBACK_FAIL,,,39195,39.2,13,,True,whisper,7946,SILENCE_NO_FINAL
2026-02-12T19:17:38.817021,web_1770891455615,session_1770891455615,,,칫솔.,칫솔,칫솔,0.9237,OK,,2390,3137,3.14,11,,False,,0,
2026-02-12T19:21:00.057596,web_1770891656143,session_1770891656143,,,칫솔.,칫솔,칫솔,0.9237,OK,,3104,3853,3.85,14,,False,,0,
2026-02-13T13:42:40.688423,web_1770957729986,session_1770957729986,,,,,,0.0,FALLBACK_FAIL,,,30294,30.29,3,,True,whisper,588,SILENCE_NO_FINAL
